TEAM,TEAM_KP,CONFERENCE,CONF_TYPE,WIN,LOSS,SEED,PTS/GM,AVG MARGIN,FGM/GM,FGA/GM,OFF EFF,DEF EFF,eFG%,TS%,3PT%,2PT%,FT%,3PTM/GM,3PTA/GM,OFF REB/GM,DEF REB/GM,TTL REB/GM,OFF REB%,DEF REB%,TTL REB%,BLKS/GM,STL/GM,AST/GM,TO/GM,AST/TO%,WIN% ALL GM,WIN% CLOSE GM,POSS/GM,PF/GM,OPP PTS/GM,OPP AVG MARGIN,OPP FG%,OPP eFG%,OPP 3PT%,OPP 2PT%,OPP FT%,OPP TS%,OPP AST/GM,OPP TO/GM,OPP AST/TO%,NET AST/TOV RATIO,STOCKS/GM,STOCKS-TOV/GM,NET RANK,KenPom RANK,KenPom EM,KenPom AdjO,KenPom AdjD,KenPom AdjT,KenPom Luck,KenPom SOS EM,KenPom SOS OppO,KenPom SOS OppD,KenPom NCSOS Adj EM
Sacred Hrt,Sacred Heart,NEC,MM,16,17,0,69.8,-1.9,25.9,60.4,0.966,0.992,48.4,102,30.6,49.8,67.5,6.7,21.8,8.6,23.2,35.6,26.4,70.2,48.8,3.3,7.6,13.3,13.3,1,0.469,0.546,72.2,15,71.6,1.9,43.9,50.2,34.1,49.7,71.1,106,14.1,13.7,1.027,-0.03,10.9,-2.4,326,330,-14.9,96.4,111.3,69.7,0.027,-13.65,96.5,110.2,-7.82
IL-Chicago,Illinois Chicago,MVC,MM,0,0,0,66.7,-5.7,23.1,55.6,0.933,1.013,48.7,103.1,33.2,47.9,65.7,8,24.1,6.3,21.3,31.6,19.4,72.3,45.3,4.5,6.3,13.1,12.7,1.025,0.355,0.333,71.5,17.5,72.4,5.7,45.3,51.2,34.3,51.1,72.2,109.2,14.4,13.6,1.052,-0.03,10.8,-1.9,,299,-10.68,98,108.7,69,0.019,-3.61,102.1,105.7,-10.29
NC-Asheville,UNC Asheville,BSth,MM,27,7,15,73,3.7,25,53.4,1.023,0.971,53.9,114.1,38.8,51.4,69.3,7.7,19.9,6.8,24.4,34.3,23.3,74,50,4,6.1,12.5,13.9,0.899,0.781,0.818,71.3,15.6,69.3,-3.7,42.8,48,30.5,49.1,71.8,102.2,11.6,12.5,0.93,-0.03,10.1,-3.8,140,146,1.51,104.1,102.6,68.5,0.152,-5.3,102.8,108.1,-0.57
Bucknell,Bucknell,Pat,MM,0,0,0,66.1,-3,24.4,54.2,0.973,1.017,51.3,108.2,34.5,51.1,71.8,6.9,20,6.6,24,34.3,22.9,76.9,51.3,3.6,5.4,13,13.4,0.973,0.355,0.4,67.9,15.6,69,3,44.7,51.2,36.4,49.4,64.1,106.2,14.3,10.3,1.39,-0.42,9.0,-4.4,295,306,-11.42,99,110.4,66.8,-0.061,-7.96,99.9,107.9,-7.75
Colorado,Colorado,P12,P5,17,16,0,70,3.3,25.6,58.9,0.981,0.936,49,104,31.9,49.6,69.3,6.5,20.5,9.4,24.1,37.5,28.7,76.6,52.8,3.6,7.6,13,13.4,0.975,0.515,0.375,71.4,16.3,66.8,-3.3,42.2,47.7,31.8,47.7,71,102.6,11.1,13.7,0.814,0.16,11.2,-2.2,69,59,13.05,107.7,94.7,69,-0.078,8.56,108.5,99.9,3.78
Central Ark,Central Arkansas,ASun,MM,0,0,0,71.8,-10.6,25.9,63.8,0.953,1.094,47.1,100.8,31.6,46.8,75.1,8.3,26.3,9,22.4,35.8,25,70.8,47.6,3.2,6.4,12.1,13.3,0.91,0.267,0.6,75.3,16.3,82.4,10.6,47.6,54.7,36.3,54.8,71.4,114.3,14,12.3,1.144,-0.23,9.6,-3.7,,332,-15.22,98.6,113.9,72.3,0.059,-2.51,104.9,107.4,-1.38
Jksnville St,Jacksonville St.,ASun,MM,13,18,0,67.1,-4.1,23.3,54.5,0.986,1.046,50.5,107.1,35.9,47.9,70.2,8.5,23.7,8.2,23.9,35.7,27.6,78.6,52.6,2.3,4.9,11.5,13.4,0.856,0.357,0.222,68.1,16.9,71.2,4.1,43.9,52.5,34.9,52.7,74.9,111.5,14.1,10.9,1.294,-0.44,7.2,-6.2,241,233,-5.2,102.2,107.4,65.7,-0.044,-1.34,105.3,106.7,1.92
Florida St,Florida St.,ACC,P5,0,0,0,69.3,-6.9,25.1,57.5,0.985,1.083,49.3,105.4,33,49.1,72.6,6.5,19.8,7.3,21.3,31.4,23.7,70.2,47.2,3.9,6.2,13.4,12.1,1.108,0.281,0.5,70.4,16.2,76.2,6.9,45.4,53.1,37.6,50.8,75.6,113,14.8,11.8,1.255,-0.15,10.1,-2.0,221,208,-2.83,105.2,108,68.7,-0.022,5.99,109,103,3.2
Maryland,Maryland,B10,P5,21,12,8,70.4,7.2,24.8,55.3,1.067,0.957,51.1,109.6,33,52,73.9,6.8,20.7,8.7,22.6,33.8,28.8,74.7,51.6,3.7,5.4,11.5,10.5,1.095,0.636,0.143,66,15.8,63.2,-7.2,42.8,47.9,32.2,47.7,72.7,102.4,11.2,11.9,0.941,0.15,9.1,-1.4,31,22,18.37,114.1,95.8,64.6,-0.039,8.01,109.3,101.3,-3.92
Miss State,Mississippi St.,SEC,MM,21,12,11,65.9,4.9,24,56.8,0.98,0.907,46.9,99.7,26.6,50.5,64.7,5.2,19.6,11.7,23.4,37.8,34.9,72.9,53,3.4,8.8,14.2,12.8,1.104,0.636,0.444,67.2,15.1,61,-4.9,39.4,46.2,30.8,46.2,71.9,99.2,12.5,14.4,0.872,0.23,12.2,-0.6,49,49,14.12,105.5,91.3,63.8,0.008,7.59,108.6,101,-3.31
Boston U,Boston University,Pat,MM,15,17,0,66.2,-1.6,23.3,57.3,0.971,0.994,47,101.4,32.4,45.9,74,7.2,22.2,8.8,23.3,35,27.1,76.7,50.9,2.4,6.3,10.1,11.9,0.848,0.452,0.5,68.2,17.7,67.7,1.6,43.8,50.5,33.8,50.3,69.7,107.7,11.6,12.2,0.953,-0.11,8.7,-3.2,,273,-8.74,98.1,106.8,65.5,-0.001,-6.79,101.1,107.9,-4.22
E Tenn St,East Tennessee St.,SC,MM,0,0,0,68,-1.6,25,55.7,0.999,1.022,50.5,106.2,32.1,51.8,67,6.2,19.4,8.9,22.8,34.4,28.8,73.4,50.7,3.1,5.9,11.8,13,0.907,0.333,0.231,68,15.5,69.5,1.6,43.7,50.8,32.9,51.8,73.4,107.5,12.8,11.6,1.1,-0.19,9.0,-4.0,,244,-6.29,101.2,107.5,65.8,-0.111,-4.25,104.1,108.3,-4.58
TX-Pan Am,,,,,,,75.3,-5.9,25.4,56,0.986,1.064,51.2,110.3,33.6,51.7,69.6,6.6,19.6,8.1,23.4,35.6,26.3,72.4,50.1,3,4.5,14,16.5,0.851,0.393,0.625,76.3,21.1,81.2,5.9,45.9,52,34.8,51.9,74.6,112.3,17.2,12.6,1.366,-0.52,7.5,-9.0,,,,,,,,,,,
Florida,Florida,SEC,MM,16,16,0,71.9,3.3,25.3,57.7,1.004,0.958,49.8,107,31.9,50.9,71.7,6.8,21.2,7.2,24.8,34.8,22.2,72.3,47.4,5.3,6.7,12.4,11,1.127,0.5,0.143,71.7,16.4,68.7,-3.3,41.1,45.9,31.4,45.4,70.4,98.8,11.3,12.3,0.916,0.21,12.0,1.0,62,63,12.82,108.2,95.4,69.4,-0.077,9.46,110.1,100.6,5.25
Quinnipiac,Quinnipiac,MAAC,MM,20,12,0,72.5,2.8,25.7,59.5,1.02,0.981,49.9,105.3,36.1,47.4,66.5,8.1,22.5,10.3,24.9,37.5,31.3,73.5,52.4,2.5,6.1,12.8,12.7,1.01,0.613,0.6,71.1,16.5,69.8,-2.8,42.3,48.1,31.6,48.5,70.1,102.1,12.4,11.5,1.07,-0.06,8.6,-4.1,174,196,-1.52,104.2,105.7,69.7,0.007,-5.6,101,106.6,-3.57
VA Tech,Virginia Tech,ACC,P5,19,14,0,74.2,4.5,27.3,58.1,1.087,1.021,54.2,113.5,36.2,54.1,73.5,8.3,23,7.2,23.5,33.4,23.9,74.4,49.9,3.2,5.3,15.5,9.9,1.564,0.576,0.5,68.3,15.5,69.8,-4.5,44.6,50.6,34.1,50.4,70.4,106.3,12.5,10.9,1.139,0.43,8.5,-1.4,76,81,10.21,113.9,103.7,66.6,-0.06,4.55,108,103.4,-3.92
Geo Mason,George Mason,A10,MM,20,13,0,68.7,1.5,24.2,53.8,0.989,0.968,51.9,108.7,35,51.4,65.1,7.3,20.8,8,24.9,35.8,26.7,77.8,52.4,3.1,4.6,13.7,13.7,0.998,0.606,0.539,69.5,17.2,67.3,-1.5,42.6,47.9,30.1,49.4,68.9,102.5,11,11.5,0.953,0.05,7.7,-6.0,139,147,1.47,102.7,101.2,66.4,0.061,-0.87,104.8,105.7,-1.79
Wisconsin,Wisconsin,B10,P5,17,14,0,64.9,1.1,23.8,57.4,0.988,0.97,48.5,101.6,35,45.8,67.1,8.1,23.2,6.6,22.5,31.3,20.3,76.6,47,1.5,6.1,11.6,8.7,1.337,0.548,0.611,65.8,16,63.8,-1.1,44.5,50.3,32.3,51.3,68.6,105.7,10.3,12,0.853,0.48,7.6,-1.1,80,76,11.54,106.4,94.9,63.1,0.004,10.63,111.2,100.6,1.06
Georgetown,Georgetown,BE,P5,0,0,0,69.5,-8.6,25.6,60.4,0.97,1.089,47.1,101.1,30.9,47.4,71.8,5.8,18.7,9.4,23.7,36,27.4,72.1,49,4.6,6.2,11.9,12.3,0.969,0.219,0.2,71.7,14.4,78.1,8.6,45.9,53.6,38.9,50.4,72.8,111.9,17.3,11.1,1.551,-0.58,10.8,-1.5,243,224,-4.34,103.9,108.3,68.9,-0.056,8.28,109.8,101.6,-5.27
UMKC,UMKC,Sum,MM,0,0,0,63,-6.5,22,57,0.934,1.031,43.4,95.4,27.3,44.7,71.5,5.5,20.3,11.1,21.5,36.3,33.9,72.7,52.2,3.6,5.7,8.8,13.1,0.676,0.333,0.5,67.5,18.5,69.5,6.5,43.1,50.1,34.6,48.9,74.9,109.3,10.9,11.4,0.962,-0.29,9.3,-3.8,,309,-11.7,96.4,108.1,63.8,-0.013,-3.2,105,108.2,1.95
Washington,Washington,P12,P5,16,16,0,69.2,-1.2,24.6,57,0.963,0.979,48.8,105.5,31.3,50,74.9,6.5,20.9,7.6,23.6,33.8,24.8,67.4,47,5.2,6.9,11.5,14,0.819,0.5,0.667,71.8,16.5,70.3,1.2,41.6,47.1,29.7,48.6,70.7,100.1,15.7,12.9,1.218,-0.40,12.1,-1.9,122,106,6.38,105.8,99.4,69.2,0.037,8.08,108.1,100.1,-0.11
