TEAM,TEAM_KP,CONFERENCE,CONF_TYPE,WIN,LOSS,SEED,PTS/GM,AVG MARGIN,FGM/GM,FGA/GM,OFF EFF,DEF EFF,eFG%,TS%,3PT%,2PT%,FT%,3PTM/GM,3PTA/GM,OFF REB/GM,DEF REB/GM,TTL REB/GM,OFF REB%,DEF REB%,TTL REB%,BLKS/GM,STL/GM,AST/GM,TO/GM,AST/TO%,WIN% ALL GM,WIN% CLOSE GM,POSS/GM,PF/GM,OPP PTS/GM,OPP AVG MARGIN,OPP FG%,OPP eFG%,OPP 3PT%,OPP 2PT%,OPP FT%,OPP TS%,OPP AST/GM,OPP TO/GM,OPP AST/TO%,NET AST/TOV RATIO,STOCKS/GM,STOCKS-TOV/GM,NET RANK,KenPom RANK,KenPom EM,KenPom AdjO,KenPom AdjD,KenPom AdjT,KenPom Luck,KenPom SOS EM,KenPom SOS OppO,KenPom SOS OppD,KenPom NCSOS Adj EM
Niagara,Niagara,MAAC,MM,16,15,0,64.2,-2.2,23.4,52.5,0.988,1.021,50.3,107,33.8,50.1,72,6.1,18.1,6.9,21,29.9,24.7,73.1,49.2,2.3,5.4,10.5,11.8,0.89,0.5,0.546,65,16.1,66.4,2.2,44.4,49.8,36,48,73,107.1,10.5,10.8,0.966,-0.08,7.7,-4.1,246,259,-7.43,100.9,108.4,63.2,0.092,-4.8,102.2,107,-5.04
NC A&T,North Carolina A&T,CAA,MM,13,19,0,68.2,-7.4,24.1,59.1,0.948,1.052,47.4,100.9,32.5,46.5,68.3,7.8,23.9,7.9,23.4,35,23.1,71.7,47.1,3,6.7,10.9,12.3,0.885,0.345,0.6,71.9,16.9,75.6,7.4,44.1,50.6,33.6,50.7,74.6,107.8,13.7,11,1.241,-0.36,9.7,-2.6,,319,-13.09,98.3,111.4,70,0.054,-4.06,102.4,106.4,5.15
Binghamton,Binghamton,AE,MM,13,18,0,67.6,-4.9,25.3,56.7,0.977,1.048,49.5,105.2,32.4,50,71.6,5.5,17,7.9,23.6,34.4,26.2,74.5,50.9,3,4.3,11.4,13.1,0.873,0.379,0.546,69.2,18,72.5,4.9,44.6,50.5,33.2,50.8,73.4,108.6,10.7,10.2,1.047,-0.17,7.3,-5.8,300,311,-11.93,98.7,110.6,66.1,0.028,-5.6,102.9,108.5,-5.14
St Fran (NY),St. Francis NY,NEC,MM,14,16,0,63,-5.3,22.1,55.4,0.923,1.002,45.9,99,36.5,41.6,70,6.7,18.3,9.8,21,33.1,29.8,71.3,48.7,4.5,6.9,11.3,14.1,0.805,0.429,1,68.2,15.5,68.3,5.3,45.1,50.5,39.7,47.1,69.3,106.9,13.6,13,1.044,-0.24,11.4,-2.7,,359,-21.03,90.2,111.3,66.1,0.082,-14.2,97.6,111.7,-9.29
Sam Hous St,Sam Houston St.,WAC,MM,25,7,0,68.5,7.1,24,54.8,1.014,0.908,51,108,38.5,47.1,69.1,7.8,20.2,8.9,23,34.8,29.8,77.3,52.7,2,7.7,11.9,13.3,0.9,0.75,0.714,67.6,18.7,61.4,-7.1,40.6,48.4,33.3,47,69.5,104.5,11.3,15.4,0.733,0.17,9.7,-3.6,,69,12.28,106.6,94.3,64.4,0.052,2.17,105.9,103.7,7.27
N Arizona,Northern Arizona,BSky,MM,0,0,0,72.5,-3.7,26.1,59.8,1.033,1.085,50.4,107.3,35.7,48.5,74.5,8.2,22.8,7.7,21.4,32.8,24.2,75.4,49,1.5,5.1,13.3,10.9,1.217,0.303,0.25,70.2,18.6,76.2,3.7,48.3,55.3,36.5,55.7,74.2,117.7,13.9,11.8,1.176,0.04,6.6,-4.3,,211,-2.94,107.9,110.9,66.9,-0.084,1.1,106.6,105.5,8.34
Arizona St,Arizona St.,P12,P5,22,12,11,70.3,2.6,25,60.5,0.978,0.941,47.5,101.5,31.4,47.9,68.9,7.5,23.9,9.4,23.7,36.9,27.3,70.6,48.7,4.7,7.3,14.2,11.8,1.204,0.647,0.692,71.9,18.5,67.7,-2.6,39.8,46.4,33.6,43.8,70.2,100.3,12.5,14.4,0.869,0.34,12.0,0.2,66,68,12.38,107.6,95.2,68.4,0.069,8.69,108.9,100.3,1.31
UC Riverside,UC Riverside,BW,MM,22,12,0,71.4,1.1,26.2,59.9,1.017,1.002,50.5,106.1,35.6,48.8,69.6,8,22.5,9,22.9,36.2,28.4,79.8,53.2,1.8,5,13,12.3,1.057,0.636,0.75,70.2,18.8,70.4,-1.1,46.4,51.3,34,51.5,72.1,110.1,11.4,11.8,0.966,0.09,6.8,-5.5,137,137,2.69,107.9,105.2,66.9,0.097,0.4,104.6,104.2,4.45
San Diego St,San Diego St.,MWC,MM,27,6,5,71.3,7.5,25.1,56.8,1.043,0.933,50.1,107.9,34.4,49.4,73.6,6.8,19.8,9.2,23.4,35.5,30.7,76.2,53.1,3.7,7.1,13,11.7,1.112,0.813,0.889,68.4,16.5,63.8,-7.5,41.6,47.5,29.2,50,73.6,102.3,10.8,13.1,0.821,0.29,10.8,-0.9,14,14,20.25,111.9,91.7,66,0.047,8.96,110.4,101.4,7.47
Pacific,Pacific,WCC,MM,15,18,0,75.8,-2.6,26.5,58.5,1.035,1.071,52.7,111.9,38.4,49.6,72.7,8.7,22.7,6.2,21.5,31.3,19.9,70.5,45.7,2.6,5.4,12.5,11.6,1.075,0.452,0.571,73.2,19,78.4,2.6,46.9,54,34.9,55.1,67.2,113,13.6,12.8,1.058,0.02,8.0,-3.6,190,181,-0.88,108.3,109.2,69.6,0.043,2.18,107.6,105.4,-3.27
N Florida,North Florida,ASun,MM,14,17,0,74.8,-4.2,26.2,58.8,1.049,1.108,53.3,112,36.4,52.1,72,10.2,28.1,7.5,22.5,33.6,24,68.5,47.1,3.8,4.7,12.4,12.1,1.026,0.414,0.455,71.3,14,79,4.2,47.2,52.4,35.5,52.1,73.4,109.8,15.9,9.7,1.638,-0.61,8.5,-3.6,238,231,-4.91,109.9,114.8,68,0.012,-1.33,105.7,107,5.92
Presbyterian,Presbyterian,BSth,MM,0,0,0,61.8,-8.5,21.9,52.7,0.929,1.058,47.3,99.9,31.5,47.3,62,6,19.1,9.1,20.1,32.9,28.8,72.6,49.1,3.1,5.3,10.2,13.6,0.754,0.1,0,66.5,19.3,70.4,8.5,47.2,54,38.5,51.9,66.3,112.9,11.9,12,0.992,-0.24,8.4,-5.2,352,346,-17.21,93.8,111,64.7,-0.104,-4.87,103.5,108.4,-4.09
Duquesne,Duquesne,A10,MM,20,12,0,74.8,3.9,27.2,62.2,1.054,0.999,51,106.8,36.5,48.6,68.8,9,24.7,10.9,21.9,35.7,31.5,68.8,49.5,3.9,8.3,15.3,11.9,1.289,0.625,0.571,71,18.7,70.9,-3.9,44.2,50.2,35.3,48.8,69.3,106.9,13.3,14.5,0.916,0.37,12.2,0.3,130,125,3.98,108.6,104.6,68.2,0.012,-1.72,104.7,106.5,-3.95
W Michigan,Western Michigan,MAC,MM,0,0,0,68.3,-8.2,24.4,58,1.003,1.124,48.8,104,32.1,49.3,72.3,7.8,24.4,10,22.1,35.8,31,73,51.8,2.1,4.5,12,12.8,0.939,0.179,0,68.1,17.5,76.5,8.2,47.5,54.8,37,54.4,71.9,115.3,15,9.6,1.571,-0.63,6.6,-6.2,,323,-13.59,102.8,116.4,65.7,-0.055,-1.9,104.7,106.6,0.58
Elon,Elon,CAA,MM,0,0,0,63.8,-8.5,23.2,55.4,0.939,1.064,47.8,101.7,29.2,50.5,70.5,6.5,22.4,7,22.2,32.9,22.8,70.2,47.5,2,6.1,11.5,12.2,0.945,0.2,0.25,67.9,16.4,72.2,8.5,44,52.1,35.2,51.4,70.8,109.6,14.9,11.4,1.304,-0.36,8.1,-4.1,335,337,-15.98,96.8,112.8,66,-0.024,-4.55,102.2,106.8,-1.83
Grambling St,Grambling St.,SWAC,MM,24,9,0,67.5,4.5,24.1,53.5,0.97,0.906,49.9,105.5,35.1,48.8,64,5.2,14.8,8.8,23.5,35.5,29,71.3,51.1,4.2,7,12,14.4,0.834,0.71,0.556,69.6,19.2,63.1,-4.5,38.6,44.5,31.3,43.1,66.2,97.3,11,14.4,0.764,0.07,11.2,-3.2,,175,-0.65,100.1,100.8,66.3,0.09,-8.77,98.9,107.7,4.02
App State,Appalachian St.,SB,MM,16,16,0,65.6,-0.5,23.9,56.3,0.972,0.98,48.7,102.3,32.9,48.3,65.1,7.1,21.6,7.3,23.9,34.1,23.1,72.7,48,4.4,5.5,11.7,10.8,1.086,0.448,0.444,67.5,14,66.1,0.5,41.5,47.9,33.4,46.4,72.7,101.8,12.2,11.3,1.079,0.01,9.9,-0.9,,177,-0.73,101.4,102.2,65,-0.035,-0.65,104.7,105.4,-0.72
Incar Word,Incarnate Word,Slnd,MM,0,0,0,68.3,-6.8,24.1,56,0.963,1.058,48.5,105.4,34.1,47.3,75,6.2,18.3,7.5,19.8,30.4,24,68.3,45.9,3,8.1,11.8,13.9,0.846,0.321,0.5,71,17.4,75.1,6.8,48.2,54.4,36.8,53.9,71.6,114.4,13.4,14.3,0.938,-0.09,11.1,-2.8,,336,-15.87,96.6,112.5,67,0.012,-8.36,101.7,110,-2.28
Ark Pine Bl,Arkansas Pine Bluff,SWAC,MM,0,0,0,65,-7.6,21.6,56.3,0.897,1.002,45.2,99.4,31.1,44,74.1,7.6,24.4,8.1,21.3,33,24.4,71.7,47.6,2.5,7.6,11.7,15.3,0.763,0.222,0.1,72.4,20.6,72.6,7.6,45.2,51.4,34.5,51.1,71.5,110.9,14.7,15.2,0.971,-0.21,10.1,-5.2,,321,-13.28,94.7,107.9,69.6,-0.07,-4.68,100.3,104.9,14.23
TX-San Ant,UTSA,CUSA,MM,0,0,0,69.2,-8.9,23.1,56.5,0.965,1.089,47.4,104.1,33.9,45.2,74,7.4,21.8,8.3,22.9,34.7,25.4,70.5,48.5,2.2,4.2,10.3,13.6,0.753,0.267,0.5,71.7,17.4,78.1,8.9,45.7,52.5,35.6,51.9,72.2,110.9,14.5,10.8,1.344,-0.59,6.4,-7.2,288,289,-9.97,102.1,112.1,69.2,0.022,1.04,105.3,104.3,-5.69
TX-Arlington,UT Arlington,WAC,MM,0,0,0,62.9,-7.1,22.8,56.4,0.926,1.031,45.9,97.7,31.9,44.9,66.3,6.2,19.6,10.6,21.2,33.9,31.2,71.3,49.8,2.7,5.9,12.7,14,0.902,0.276,0.444,67.9,19.7,70,7.1,44.9,51.9,37.1,49.6,71.2,111.1,13.1,13.4,0.974,-0.07,8.6,-5.4,251,240,-6.09,99.9,106,65.9,0.011,3.45,105.9,102.4,4.69
Missouri,Missouri,SEC,MM,24,9,7,79.5,4.9,28.4,59.9,1.102,1.034,55.1,116.3,36.1,55.9,75.8,9.4,26,7.9,19.8,30.3,25.5,64.2,44.8,2.7,10.3,16.2,11.3,1.429,0.727,1,72.2,18.1,74.6,-4.9,44.5,52.3,35.4,51.7,75.2,112.3,14.6,17.2,0.849,0.58,13.0,1.7,42,51,13.92,119.3,105.4,69.1,0.11,7.73,108.1,100.4,-4.68
Penn State,Penn St.,B10,P5,22,13,10,72.5,4.1,26.6,57.2,1.089,1.027,55.7,115.3,38.7,53.5,73.1,10.5,27.1,5.3,24.9,32.6,17.4,76.4,48.4,2.2,4.4,13.9,9,1.554,0.647,0.667,66.6,15.6,68.4,-4.1,43.2,49.4,33.8,48.7,70.6,104.3,14.1,8.7,1.62,-0.07,6.6,-2.4,48,39,15.04,116.8,101.8,64.6,0.009,9.72,109.6,99.9,-4.72
Sac State,Sacramento St.,BSky,MM,14,18,0,66.1,-3,24.4,54.6,1.003,1.049,50.8,107.1,34.9,50,70.7,6.8,19.4,9,23,34.8,31.5,78.1,54.2,2.7,4.4,13.6,13.4,1.017,0.4,0.5,65.9,15.9,69.2,3,46.7,52.2,35.7,51.6,74,110,11.8,9.3,1.268,-0.25,7.1,-6.3,224,227,-4.48,103.9,108.4,62.5,0.012,-0.41,105.4,105.8,3.69
Campbell,Campbell,BSth,MM,16,18,0,68.7,-0.3,24.1,52.1,1.025,1.03,52.7,111.7,32.9,54.7,69.8,6.6,20.1,6,21.8,30.8,21.3,73.9,48.7,2.7,6,12.1,11.8,1.018,0.438,0.429,67,16.7,69,0.3,45.4,52.5,34.4,53.2,70,110.7,11.8,12.1,0.982,0.04,8.7,-3.1,233,229,-4.77,105,109.8,64.3,-0.049,-4.65,102.5,107.2,-1.25
NC-Grnsboro,UNC Greensboro,SC,MM,20,12,0,69.8,4.6,24.5,56.1,1.014,0.948,50.6,107.8,35.1,49.3,71.4,7.7,21.9,8.2,24.3,36,26.9,75.4,51.8,2.4,7,13.7,12,1.145,0.6,0.286,68.8,17.1,65.2,-4.6,41.1,47.8,32.8,46.8,67.7,101.7,10.9,13,0.838,0.31,9.4,-2.6,114,116,4.93,103.5,98.6,66,-0.044,-2.35,105.5,107.8,2.9
WI-Milwkee,Milwaukee,Horz,MM,21,11,0,75.9,-0.5,27,59.8,1.008,1.015,51.8,110.2,35,51.4,73.1,8,22.9,10,24.7,38.1,31,69.3,51,5.5,6.4,13.4,15.8,0.847,0.621,0.769,75.3,18,76.4,0.5,41.7,48.2,31.4,49,73.9,103.6,13.3,13,1.021,-0.17,11.9,-3.9,210,228,-4.64,103.1,107.7,72,0.131,-4.86,103.4,108.2,0.76
Mt St Marys,Mount St. Mary's,MAAC,MM,13,20,0,63.8,-4.2,23.3,54.9,0.941,1.002,48.6,103.5,36,45.8,73.6,6.7,18.6,7.7,22,33.3,25.3,70.9,49.3,2.4,5.4,12.3,13.8,0.891,0.375,0.625,67.8,16.4,67.9,4.2,42.9,48.9,33.7,48,72.3,104.5,12.1,11.9,1.016,-0.13,7.8,-6.0,267,278,-9.25,97.1,106.3,65.8,0.028,-3.96,102.6,106.5,-1.58
Fresno St,Fresno St.,MWC,MM,0,0,0,63.5,-2.5,23.2,54,0.975,1.013,49.3,105.4,31.1,51.2,77.7,6.8,22,6.7,20.8,30.2,22.8,73.8,47.9,3.3,6.3,12.4,11.5,1.072,0.333,0.364,65.2,16.2,66,2.5,44.2,51.2,37.4,48.3,76,110,12.1,12.6,0.966,0.11,9.6,-1.9,146,134,2.97,103.5,100.6,64.3,-0.083,6.79,109.5,102.7,1.15
Northeastrn,Northeastern,CAA,MM,0,0,0,65.3,-6.4,23.7,56.8,0.944,1.036,48,101.6,33.2,46.9,68.5,7,21.2,9.4,23.5,36,29.8,75.2,52.4,4.1,5,12.6,14.4,0.873,0.333,0.364,69.2,16.7,71.7,6.4,45,50.1,34.9,49.2,71.5,106.8,11.9,9.7,1.226,-0.35,9.1,-5.3,312,310,-11.83,97.9,109.7,66.8,-0.006,-4.13,102.6,106.7,-1.75
Jacksonville,Jacksonville,ASun,MM,13,16,0,61,-3.7,22.6,51.4,0.974,1.032,50.6,107.2,33.3,51,77,6.8,20.3,6,23.6,32.3,22.2,76.7,50.6,2.3,4.8,12.1,11.7,1.036,0.385,0.2,62.7,14.8,64.7,3.7,41.9,49.8,32.1,51.4,73.2,105.8,12.7,8.7,1.449,-0.41,7.1,-4.6,236,235,-5.4,100.3,105.7,61.2,-0.009,-0.5,106.3,106.8,6.64
Navy,Navy,Pat,MM,18,13,0,68.6,3.3,25.7,57.4,1.027,0.977,51.5,107.5,36.9,49.3,70.6,7.6,20.7,8.5,22.9,34.3,28.4,74.9,51,2.7,6.8,14.4,11.3,1.277,0.567,0.25,66.8,16.1,65.3,-3.3,43.9,50.4,34.2,49.8,65.2,105.3,13,12.7,1.018,0.26,9.5,-1.8,173,183,-0.98,103.7,104.7,64.5,-0.038,-6.99,101.6,108.6,-1.51
N Alabama,North Alabama,ASun,MM,18,14,0,72.6,-4.1,26.3,58.3,1.015,1.072,51.3,108.6,36.1,49.9,70.7,7.3,20.2,6.2,23.4,33.3,20,74.2,47.8,2.9,5.4,10.8,10.9,0.991,0.517,0.857,71.5,17.1,76.7,4.1,45.5,52.4,37.7,50,71.8,110.9,14.2,10.5,1.355,-0.36,8.3,-2.6,,251,-6.77,105.3,112.1,68.6,0.123,-2.48,104.3,106.8,0.19
N Illinois,Northern Illinois,MAC,MM,13,19,0,70.9,-3.9,25.6,56,0.977,1.031,52.2,108.8,34.9,52.1,64.8,7.2,20.6,7.1,22.8,33,23,70.1,46.6,2.3,6.3,12.3,14.3,0.856,0.4,0.5,72.6,19.4,74.8,3.9,44.8,50.7,32.7,51.7,69.5,107.9,12.8,13.2,0.975,-0.12,8.6,-5.7,,245,-6.33,100.9,107.2,69.2,-0.016,-1.8,105.2,107,3.1
AR Lit Rock,Little Rock,OVC,MM,0,0,0,75.3,-5.7,27.4,61.8,1.009,1.084,49.2,105.8,32.5,49.4,73.7,6,18.5,9.7,22.8,34.9,28.6,71.5,48.8,2.2,6.8,14.9,13.2,1.128,0.276,0.385,74.6,19.9,80.9,5.7,48.5,56.1,39.5,54.1,66.7,116.4,15.3,14.1,1.083,0.04,9.0,-4.2,322,322,-13.37,102.2,115.6,71,-0.025,-7.18,101.5,108.6,-0.19
San Diego,San Diego,WCC,MM,0,0,0,76.3,-5.3,27.1,60.6,1.059,1.133,51.1,109.8,34.8,50.4,76.8,7.7,22.1,8.7,21.4,32.6,26.2,71.9,48.2,1.7,6.2,12.3,11.3,1.085,0.31,0.182,72,18.1,81.6,5.3,49.7,58.2,41,55.9,67.1,119.9,17.7,12.2,1.442,-0.36,7.9,-3.4,230,223,-3.8,110.6,114.4,68.8,-0.03,2.92,107.5,104.6,-2.51
North Texas,North Texas,CUSA,MM,26,7,0,64.2,7.9,22.2,50.7,1.046,0.917,51.1,109.9,35.7,49.3,76.3,7.4,20.6,8.7,21.1,33,31.9,74.1,53.3,2.8,6.4,11,11.9,0.924,0.774,0.7,61.4,16.6,56.3,-7.9,40.1,45.4,30.6,45.1,69.8,99.9,7.9,12.2,0.65,0.27,9.2,-2.7,38,45,14.68,110.2,95.5,58.8,0.059,1.85,106,104.2,1.79
UC Irvine,UC Irvine,BW,MM,23,11,0,73.3,5.7,26.8,58,1.031,0.951,52.3,110.7,38,50,72.8,7.1,18.8,7.6,24.9,35.9,24.8,75.4,51.4,2.1,6.4,14.1,12.3,1.148,0.656,0.5,71.1,19.2,67.6,-5.7,40.1,45.7,32.1,44.4,73.3,100.7,11.5,12.2,0.944,0.20,8.5,-3.8,96,99,7.29,107.7,100.5,69.6,-0.045,-0.78,103.4,104.2,3.39
Charl South,Charleston Southern,BSth,MM,0,0,0,70.4,-5,25.4,58.4,1.032,1.104,50.3,106.6,34.1,49.7,72.9,7.8,22.9,9.5,20.7,33.9,29.6,70.2,49.9,2.3,5,11.4,12,0.946,0.276,0.375,68.3,18.4,75.4,5,47,54.3,36.2,54.3,71.8,115,13.4,11.1,1.208,-0.26,7.3,-4.7,,304,-11.25,105.4,116.7,65.9,-0.08,-4.06,103.1,107.2,0.51
S Illinois,Southern Illinois,MVC,MM,23,10,0,65,3.3,22.9,51.8,0.986,0.936,51.7,109.5,32.1,54.7,72.2,7.8,24.1,5.9,22.9,31.5,21.2,73.5,49,2.2,6.9,13.6,12.5,1.085,0.688,0.833,65.9,16.6,61.7,-3.3,42,47.6,33,46.7,64.9,100.4,11,12.7,0.869,0.22,9.1,-3.4,,136,2.9,101.3,98.4,63.9,0.087,-2,103.8,105.8,-3.2
Maryland ES,Maryland Eastern Shore,MEAC,MM,18,13,0,66.7,-2.1,23.3,56.7,0.93,0.96,47.6,102.4,32.5,46.8,71.5,7.3,22.4,8.6,20.2,31.2,26.2,68.1,46.7,1.7,10.2,12.9,15,0.859,0.519,0.5,71.7,17.1,68.9,2.1,44.5,50.6,32.9,51.4,71.5,108.2,13.4,17.7,0.757,0.10,11.9,-3.1,,250,-6.71,94.3,101.1,69.7,0.084,-5.11,101.8,106.9,4.57
GA Southern,Georgia Southern,SB,MM,17,16,0,67.1,-1.2,24.8,57.9,0.976,0.994,48.2,102.3,31.8,48.4,70,6.2,19.6,7.7,23,33.9,23.7,74.1,48.8,2.5,6.4,9.9,10.9,0.909,0.467,0.444,68.7,17.3,68.3,1.2,43.5,49.5,33.2,49.4,70.6,106.1,11.6,12.3,0.938,-0.03,8.9,-2.0,,206,-2.61,100.4,103,66.7,0.005,-1.6,105,106.6,-3.83
Florida A&M,Florida A&M,SWAC,MM,0,0,0,58.2,-12.8,20.4,52,0.86,1.049,45,97.5,32.1,43.2,70.5,5.9,18.4,7.9,20.8,31.4,25.5,68.6,47,3.4,6.2,9.7,15.9,0.607,0.185,0.167,67.7,19.1,71,12.8,45.4,51.1,33.2,51.8,66.4,108.8,12.4,11.9,1.041,-0.43,9.6,-6.3,359,358,-20.42,89.7,110.2,65.1,0.005,-4.14,101.8,105.9,13.06
American,American,Pat,MM,17,15,0,65.4,-0.5,24.5,50.9,1.008,1.016,54.4,113.4,34.6,55.8,70.1,6.4,18.4,6.9,21.3,30.3,26.3,74.8,51,3.9,7.4,13.6,14,0.973,0.531,0.714,64.9,15.1,65.9,0.5,45.3,51.8,38.5,48.7,72.3,110,12.3,12.2,1.01,-0.04,11.3,-2.7,261,280,-9.33,100.8,110.2,62.6,0.049,-8.34,100.5,108.8,-8.77
Hampton,Hampton,CAA,MM,0,0,0,67.5,-10.5,23.6,60.1,0.947,1.095,45.1,97.5,32.2,43.3,68.7,7.1,21.9,8.5,22.1,33.8,23.9,70.8,46.4,3.3,4.3,10.7,11.1,0.971,0.226,0.5,71.3,18.3,78.1,10.5,47,53.9,37.9,52.2,69.4,113.3,15.2,10.9,1.389,-0.42,7.6,-3.5,349,351,-18.19,97.5,115.7,69,0.007,-4.63,102.6,107.2,-1.52
Tarleton State,Tarleton St.,WAC,MM,17,16,0,67.6,-2.5,22.7,52.4,0.966,1.001,47.5,104.9,33.5,46.6,70.5,4.3,13,6.8,19.3,29.9,22.3,72.5,46.8,2.6,8.1,11.1,12.3,0.899,0.448,0.5,70,21.4,70,2.5,45.3,53.1,36.3,52,73.1,114.9,12.8,16.3,0.783,0.12,10.7,-1.6,162,160,0.53,103.5,103,66.6,0.027,3.57,106.7,103.1,7.3
Wm & Mary,William & Mary,CAA,MM,13,20,0,64.9,-6.8,23.3,54.7,0.974,1.076,49.4,104.2,36.3,46.3,67.9,7.5,20.7,7.7,20.9,31.8,24.9,71.3,48.1,1.9,5.8,11.6,12.3,0.945,0.355,0.625,66.7,16.2,71.7,6.8,47.4,53.9,35.5,54.3,70.2,112.4,13,11.1,1.175,-0.23,7.7,-4.6,316,320,-13.25,99.8,113,65.2,0.031,-4.58,102.9,107.5,0.56
Holy Cross,Holy Cross,Pat,MM,0,0,0,65.2,-7.9,24.7,57.7,0.925,1.037,48.5,100.8,35.3,46.5,62.7,6.5,18.4,6.3,22.4,32,19.1,71,45.4,2.4,6.1,11.9,12.1,0.981,0.267,0.25,70.5,16.3,73.1,7.9,46.1,51.8,31.9,53.9,67.3,108,13.9,12,1.158,-0.18,8.5,-3.6,337,341,-16.88,94.2,111,69.1,0.005,-7.29,100.6,107.9,-6.38
Butler,Butler,BE,P5,14,18,0,65.3,-2.7,24.1,55.2,0.954,0.993,49.5,105.2,32.7,49.7,73.9,6.5,19.8,5.6,21.8,30,18.4,71.3,45.3,4.3,6.8,12.6,11.8,1.066,0.438,1,68.4,13.4,67.9,2.7,44.7,50.1,32.1,51,70.4,104.8,13.8,12.5,1.1,-0.03,11.1,-0.7,131,124,3.99,102.5,98.5,65.5,-0.001,9.88,110.7,100.8,1.27
California,California,P12,P5,0,0,0,58.3,-11.8,20.7,52.9,0.877,1.054,43.7,95.8,29.8,43.2,72.3,4.9,16.4,6.7,21,31.5,21.9,71,47,3.1,4.7,9.6,13,0.739,0.094,0.167,66.5,17.1,70.1,11.8,45.2,51.6,33.4,52.5,71.6,109.6,12.9,10.4,1.244,-0.51,7.8,-5.2,313,265,-8.19,97.8,106,63.5,-0.103,8.6,108.7,100.1,1.25
S Mississippi,Southern Miss,SB,MM,25,7,0,72.8,6,26,57.7,1.044,0.958,51.2,109.2,32.7,52.4,72.9,7,21.5,9.1,23.7,37,29.1,72.8,52.2,2.6,8,14.3,11.9,1.202,0.759,0.667,69.7,16.6,66.8,-6,41.5,47.6,32.2,47.2,72,102.3,12.4,13.5,0.923,0.28,10.6,-1.3,,98,7.31,108,100.7,68.5,0.094,-0.79,104.7,105.5,-3.32
Austin Peay,Austin Peay,ASun,MM,0,0,0,63.6,-9.6,22.9,56.8,0.94,1.082,46.3,99.6,31.2,46,74,6.8,21.9,7.6,19.3,29.8,23.8,70.1,45.2,3,6.6,11.6,11.5,1.003,0.214,0.333,67.6,16.8,73.2,9.6,48.7,54.7,34.4,56.4,74.4,116.5,14,12.9,1.086,-0.08,9.6,-1.9,325,324,-13.89,97.1,111,64.8,-0.058,-2.1,105.4,107.5,0.81
Virginia,Virginia,ACC,P5,25,7,4,67.8,7.6,24,53.5,1.06,0.942,51.3,109,35.3,50.4,70.1,6.8,19.3,6.9,22.5,32,23.6,77.4,50,4.2,6.9,15.8,8.5,1.853,0.781,0.75,64,14.3,60.3,-7.6,41.5,48.3,34,46.5,74.8,103.3,11.4,12.3,0.926,0.93,11.1,2.6,27,34,16.41,111.2,94.8,61.6,0.045,5.59,108.5,102.9,1.84
Beth-Cook,Bethune Cookman,SWAC,MM,0,0,0,67.3,-9.3,23.7,58.3,0.936,1.066,46.5,100.2,35.8,43,69.8,6.9,19.3,8,20.8,32,24,67.1,45.3,2.6,7,10.9,13,0.841,0.333,0.5,71.9,17.8,76.6,9.3,46.2,52.6,35.5,52.2,73.3,112.2,14.2,13.6,1.044,-0.20,9.6,-3.4,,348,-17.37,97.1,114.4,69,0.038,-7.62,100.4,108,-0.81
San Jose St,San Jose St.,MWC,MM,20,13,0,66.8,0.2,24.4,56,1.026,1.023,50.4,105.5,32.8,51.2,67.3,7.6,23.1,10.1,23.8,36.7,33.2,78.4,54.6,4.3,4.1,12.1,11.9,1.01,0.594,0.625,65.1,15.6,66.6,-0.2,42.5,48.7,34.7,46.8,77.7,105.3,12.3,8.4,1.457,-0.45,8.4,-3.5,95,93,7.91,110.7,102.8,62.7,0.086,6.87,108.5,101.6,-1.09
NJIT,NJIT,AE,MM,0,0,0,66.5,-7,24.5,57.6,0.967,1.068,48.3,101.9,35.2,46.1,67.5,6.6,18.7,7.1,23.4,33.2,21.5,72.7,47,2.8,5.3,11,10.8,1.019,0.207,0.1,68.8,15.6,73.5,7,45.7,52.3,34,53.2,67.6,109.1,13.5,10,1.352,-0.33,8.1,-2.7,334,331,-14.92,97.2,112.1,66.3,-0.061,-5.56,103,108.6,-5.3
Idaho State,Idaho St.,BSky,MM,0,0,0,68.5,-3.6,24.6,55.8,0.997,1.049,50.8,108,33.3,51.3,73.3,7.4,22.2,6.9,21.3,31,22.8,74.8,48,2.6,5.7,12.1,11.6,1.043,0.3,0.273,68.7,17.8,72.1,3.6,45.9,51.3,32.5,52.6,79.4,111.9,12,12,1,0.04,8.3,-3.3,253,243,-6.28,102.3,108.6,65.3,-0.084,-2.1,105.2,107.3,-1.76
Chicago St,Chicago St.,IND,MM,0,0,0,66.5,-7.8,23.1,55.1,0.983,1.098,48.8,104.8,32.9,48.4,72.6,7.6,23,9.8,20.7,33.8,31.8,68.4,49.9,2.5,5.2,10.8,14.1,0.766,0.259,0.333,67.6,19.1,74.3,7.8,46.6,53.3,35.7,53.1,69.3,112.3,14.8,11,1.347,-0.58,7.7,-6.4,299,296,-10.28,103.2,113.5,64.4,-0.056,-0.01,105.7,105.8,1.97
